token,lemma
aacher,aacher
abbatissarum,abbatissa
abbatum,abbas
abbildung,abbildung
abdruck,abdruck
abhandlung,abhandlung
abhandlunge,abhandlung
abkürzunge,abkurzung
abrege,abregen
abschied,abschied
abschiede,abschied
abschieds,abschied
abschiedspuncte,abschiedspuncte
abschiedt,abschied
absolutissmus,absolutus
abtrückung,Abdruck
abusu,abusus
academiarum,academicus
academicae,academicus
academicarum,academicus
academiis,academia
accesserunt,accedo
accurata,accuratus
accuratißime,accuratus
accursius,accursius
acht,acht
acq,acq
acquirenda,acquierer
acta,actum
actis,actum
actorum,actum
adagiorum,adagium
adcesserunt,accedo
additiones,additio
adhuc,adhuc
adolfi,adolfus
adr,adr
aduent,advenire
aduersus,aduersus
aegyptiorum,aegyptus
aemter,amt
aethiopicam,aethiopicus
aethiopico,aethiopicus
affectionum,affectio
afferentes,afferre
agonistico,agonista
ahnfang,anfang
alamannicarum,Alemanni
alamannicarum,Alemanni
alberti,alberti
albertus,albertus
alciati,alciati
alcmariana,Alkmaar
alcor,Alcoran
alcorans,Alcoran
alcoranus,Alcoran
alexandrini,alexandria
alle,alle
allegationes,allegatio
allerhand,allerhand
aloisia,aloisia
alphabeti,alphabetus
alrabia,alrabia
alsatiae,Alsatia
alsatiae,Alsatia
alsaticarum,Alsatia
alte,alt
aluari,aluarus
americanorum,Americanus
amharicae,amharicae
amharico,amharicae
amorfortiarum,amorfortiarum
amos,Amos
ampliss,amplissimus
amstelodamensium,Amsterdam
amtman,amt mann
amtman,amtman
amts,amt
anagnosi,anagnosus
ananymi,ananymi
ananymi,anonymus
anatome,anatomia
anatome,anatomia
anatomia,anatomia
anatomie,anatomia
andreae,andrea
anecdota,anecdota
anecdotorum,anecdota
angefange,anfangen
anglica,Anglicanus
anglicanae,Anglicanus
anglicarum,Anglicanus
anhaltinorum,Anhalt
anima,anima
animaduersiones,animaduertere
animaduertendis,animaduertere
anleitung,anleitung
anmerckunge,anmerkung
anmone,anmone
anmuthige,anmutig
annexa,annexa
annis,annus
anno,annus
anno,annum
annotatio,annotatio
annotationes,annotatio
annotatis,annotatio
ansoehnung,ansoehnung
ant,ant
antecessoris,antecessoris
antheils,anteil
anthropologicum,anthropologicus
antichristi,antichristus
antichristus,antichristus
antiquorum,antiquus
antonio,antonio
antonium,antonium
antonium,antonius
antworte,Antwort
anweisung,anweisung
aot,aot
apendiceo,appendicum
apologeticus,apologeticus
apologie,apologia
apostillis,apostolicus
apostolicam,apostolicus
apostolici,apostolicus
apostolische,apostolicus
apostolorum,apostolicus
apres,apres
arabice,arabice
arabismus,arabismus
aramaeae,aramaeae
arbeit,arbeit
archeio,archeio
archetypi,archetypi
archeueques,archeueques
archiantistitum,archiantistes
archidiaconatur,archidiaconatur
archidiaconi,archidiaconus
archiepiscopalis,archiepiscopalis
archiepiscopatus,archiepiscopalis
archiu,archiv
archius,archius
aretini,aretini
argentoratenses,Argentoratus
argume,argument
ariminensis,ariminensis
aristotelis,aristoteles
arnaud,arnaud
arnobium,arnobium
arnolds,arnold
arnono,arnono
arnotts,arnotts
arrestis,arrestis
art,art
arthritide,arthritide
artikel,artikel
astronomiae,astronomia
atlantica,atlanticus
atqe,atqe
attentatis,attentare
auctore,auctor
auctores,auctor
auctorum,auctor
aud,aud
audomari,audomari
