Source,Target,Weight
beginning,god,1
beginning,created,1
beginning,heaven,1
god,created,1
god,heaven,2
god,earth,2
created,heaven,1
created,earth,2
heaven,earth,3
heaven,form,1
earth,earth,2
earth,form,2
earth,void,2
earth,darkness,1
form,void,1
form,darkness,1
form,face,1
void,darkness,1
void,face,1
void,deep,1
darkness,face,1
darkness,deep,1
darkness,spirit,1
face,deep,1
face,spirit,1
face,god,2
deep,spirit,1
deep,god,1
deep,moved,1
spirit,god,1
spirit,moved,1
spirit,face,1
god,moved,1
god,face,1
god,waters,3
moved,face,1
moved,waters,1
moved,god,1
face,waters,1
face,said,1
waters,god,5
waters,said,1
waters,let,2
god,said,5
god,let,5
god,light,4
said,let,5
said,light,2
let,light,2
let,god,1
light,light,2
light,god,4
light,saw,2
god,saw,3
god,good,3
saw,light,1
saw,good,3
saw,god,2
light,good,1
light,divided,1
good,god,2
good,divided,1
good,light,1
god,divided,2
god,darkness,1
divided,light,1
divided,darkness,1
divided,god,1
light,darkness,2
light,called,2
darkness,god,1
darkness,called,2
darkness,light,1
god,called,3
god,day,1
called,light,1
called,day,1
called,darkness,1
light,day,1
day,darkness,1
day,called,1
day,night,2
darkness,night,1
darkness,evening,1
called,night,1
called,evening,2
called,morning,1
night,evening,1
night,morning,1
night,day,1
evening,morning,3
evening,day,3
evening,god,2
morning,day,3
morning,god,3
morning,said,2
day,god,3
day,said,3
day,let,4
god,firmament,3
said,firmament,2
said,midst,1
let,firmament,3
let,midst,1
let,waters,4
firmament,midst,1
firmament,waters,3
firmament,let,1
midst,waters,1
midst,let,1
midst,divide,1
waters,divide,1
waters,waters,3
let,divide,1
divide,waters,2
divide,god,1
waters,firmament,5
waters,divided,1
firmament,divided,1
firmament,firmament,3
divided,waters,2
divided,firmament,1
firmament,god,2
waters,called,2
firmament,called,1
called,firmament,1
called,heaven,1
firmament,heaven,3
firmament,evening,1
firmament,morning,1
heaven,evening,1
heaven,morning,1
heaven,second,1
evening,second,1
morning,second,1
second,day,1
second,god,1
second,said,1
said,waters,1
said,heaven,1
let,heaven,3
let,gathered,1
waters,heaven,1
waters,gathered,1
waters,unto,1
heaven,gathered,1
heaven,unto,1
heaven,place,1
gathered,unto,1
gathered,place,1
gathered,let,1
unto,place,1
unto,let,1
unto,dry,1
place,let,1
place,dry,1
place,land,1
let,dry,1
let,land,1
let,appear,1
dry,land,2
dry,appear,1
dry,god,1
land,appear,1
land,god,1
land,called,1
appear,god,1
appear,called,1
appear,dry,1
god,dry,1
god,land,1
called,dry,1
called,land,1
called,earth,1
dry,earth,1
dry,gathering,1
land,earth,1
land,gathering,1
land,waters,1
earth,gathering,1
earth,waters,1
earth,called,1
gathering,waters,1
gathering,called,1
gathering,seas,1
waters,seas,1
called,seas,1
called,god,1
called,saw,1
seas,god,1
seas,saw,1
seas,good,1
god,god,1
saw,said,1
good,said,1
good,let,1
said,earth,1
said,bring,1
let,earth,1
let,bring,1
let,forth,1
earth,bring,1
earth,forth,3
earth,grass,2
bring,forth,1
bring,grass,1
bring,herb,1
forth,grass,2
forth,herb,2
forth,yielding,2
grass,herb,2
grass,yielding,2
grass,seed,2
herb,yielding,2
herb,seed,2
herb,fruit,1
yielding,seed,4
yielding,fruit,3
yielding,tree,2
seed,fruit,1
seed,tree,2
seed,yielding,2
fruit,tree,1
fruit,yielding,1
fruit,fruit,1
tree,yielding,2
tree,fruit,2
tree,kind,1
yielding,kind,3
fruit,kind,2
fruit,seed,2
fruit,earth,1
kind,seed,1
kind,earth,2
seed,earth,2
seed,brought,1
earth,brought,2
brought,forth,1
brought,grass,1
brought,herb,1
herb,kind,1
seed,kind,2
kind,tree,1
kind,yielding,1
kind,fruit,1
tree,seed,1
fruit,god,1
seed,god,1
seed,saw,1
kind,god,1
kind,saw,1
kind,good,1
god,evening,1
saw,evening,1
saw,morning,1
good,evening,1
good,morning,1
good,day,1
god,lights,1
said,lights,1
let,lights,2
lights,firmament,2
lights,heaven,2
lights,divide,1
firmament,divide,1
firmament,day,1
heaven,divide,1
heaven,day,1
heaven,night,1
divide,day,1
divide,night,1
divide,let,1
day,signs,1
night,let,1
night,signs,1
night,seasons,1
let,signs,1
let,seasons,1
let,days,1
signs,seasons,1
signs,days,1
signs,years,1
seasons,days,1
seasons,years,1
seasons,let,1
days,years,1
days,let,1
days,lights,1
years,let,1
years,lights,1
years,firmament,1
lights,light,1
firmament,light,1
firmament,earth,1
heaven,light,1
heaven,,1
light,earth,1
light,,1
earth,,1
