Historia Daniae,2,historia danius,2
Biblia Graeca,2,biblia graecus,2
Opera,1,opus1,1
Homiliae in Lucam,3,homiliae luca,2
Homiliae in Acta Apostolorum,4,homiliae actum apostolicus,3
Operum Tomus Octavus,3,opus1 tomus octavus,3
Homiliae in Johannem,3,homiliae iohannis,2
Commentarius in Esaiam,3,commentarius esaia,2
"""Commentarius in Exodum, Leviticum, Lib. Judicum & Ruth, Jobum et Amos""",11,commentarius exodus leviticus liber4 judex ruth job amos,8
Discussiones Peripateticae,2,discussio peripateticus,2
Commentarius in Lib. 1 Samuelis,5,commentarius liber4 samuel,3
Opera Latina,2,opus1 latinus,2
Teutsche Schriften,2,deutsch schrift,2
Alcorn ejusque Confutationes,3,alcoran confutatio,2
Idea reformandi Antichristi,3,idea reformatio antichristus,3
"""Electoris Moguntini, Praecationes Sacrae""",4,elector mainz praecatio sacer,4
Lectiones Memorabiles,2,lectio memorabilis,2
Stemmata Principum Christianorum,3,stemma princeps christianus,3
Descriptio Sacrorum Sacrificiorumque Gentilium,4,descriptio sacer sacrificus gentilis,4
Ponti Euxin. & Maris Eryth. Peri.,6,pontus1 euxinus mare eryth pereo,5
Antiquitates Convivales,2,antiquitas convivalis,2
Historia Augusta Scriptores Latini Minores,5,historia augustus1 scriptor latinus minor,5
De Republica Romana,3,respublica roma,2
Germania,1,german*,1
De Rebus Hungaricis,3,res hungaria,2
Historiam Reformantionis Ecclesiae Anglicanae,4,historia reformatio ecclesia anglicanus,4
Bibliotheca Caesarea Vindobonensis,3,bibliotheca caesar vienna,3
Acta Pietistica,2,actum pietisticus,2
Symphorematii,1,symphoremata,1
Acta Papebrochiana contra Carmelitas,4,actum papebrochianus contra carmelitas,4
De Rebus Polonicis,3,res polonia,2
Criminalia,1,criminalis,1
Preusische Kirchen Historia,3,preussen kirche historia,3
Praxis Epistolicum,2,praxis epistolicus,2
Viridarium Epistolicum,2,uiridarium epistolicus,2
Verus Amor Conjugalis,3,verus amo conjugalis,3
Orbis Gothicus,2,orbus gothicus,2
De Vetere Clerico Monacho,4,vetus clericus monachus,3
Clavis Pharmaceutica Schroederiana,3,clauis pharmaceuticus schroeder,3
De Divino In Morbis,4,divinus morbus,2
Commentarius in Tit. De Regulis Juris,6,commentarius titulus regula jus,4
Chrysostomus a Lutheranismo Vindicates,4,chrysostomus lutheranismo uindicates,3
Vindicatio Augustanae Confessionis,3,vindicatio augustanus confessio,3
De Jure Hominis,3,jus homo,2
Exercitatio Chwalkovii Jus Publicum Poloniae,5,exercitatio chwalkouii jus publicus polonia,5
De Augusto Duce Brunsvicensi,4,augustus1 duco braunschweig,3
De Vetustate Domus Luneburgicae,4,vetustas domus luneburgica,3
Scriptores Insignes,2,scriptor insignis,2
De Academiis,2,academia,1
De Tempore & Horologiis,4,tempus horologium,2
De Solennibus Appellationibus,3,solemnis appellatio,2
In Canticum Canticorum,3,canticus canticus,2
Tactica & Ars Militaris,4,tactica ars militaris,3
Lexicon Juris Sueo-Gothici,3,lexicon jus sueus gothicus,4
De Fide Historica,3,fides1 historicus,2
De Bello Tartarico,3,bellus tartaricus,2
Miles Togatus,2,miles togatus,2
Poemata Sacra,2,poema sacer,2
Schlüssel zur Polnischn und Deutschn Sprach,6,schlüssel polonia deutsch sprache,4
Hoh Polnisch Cantzeley,3,hoh polonia kanzlei,3
Rübenzahl,1,rübenzahl,1
Soliloquia,1,soliloquia,1
Fascinus Lutheri,2,fascis neu luther,3
Interesse religionum Christianarum,3,intersum religio christianus,3
Opuscula Juridica Regnum Polonia Concernentia,5,opusculum iuridicus regnum polonia concernentia,5
Institutiones Politica,2,institutio politicus,2
De Modis Acquirendi,3,modus acquiro,2
Libertas Aquila Triumphans,3,libertas aquila1 triumpho,3
Palaestra Nobilium,2,palaestra nobilis,2
De Adhaerendo Deo,3,adhaereo deus,2
Ostendum 2. Puerorum,3,ostendum puer,2
Florus Polonicus,2,florus1 polonia,2
Geheim Schreibkammer,2,geheim schreibkammer,2
Critica in Annales Baronii,4,criticus annalis baro,3
Dendrologia,1,dendrologia,1
Pandectas,1,pandectae,1
Codicem,1,codex,1
Praxis Juris Rom.,3,praxis jus rus,3
Wahre Abbildung der Ersten Christen,5,wahre abbildung christus,3
Ketzer Historien I und II,5,ketzer historia,2
Ketzer Historien III und IV,5,ketzer historia iii,3
Refutation von Arnotts Ketzer Historien (Bedencken über Herrn Gottfried Arnolds Ketzer-Historie),11,refutatio arnotts ketzer historia bedenken herr gottfried arnold,8
Constantiensis Tomi VI,3,constantiensis tomus vis,3
Acta Papebrochiana,2,actum papebrochianus,2
Auslegung des Alcorans (Alcoranus Mahometicus),5,auslegung alcoran alcoran mahometicus,4
De Libertate Ecclesiarum Germaniae,4,libertas ecclesia german*,3
Monasteriologia pars 2,3,monasteriologia pars,2
Chronologia Monasteriorum Germaniae,3,chronologia monasterium german*,3
Historia Judaica,2,historia iudaeus,2
Opus de Osculis,3,opus1 osculum,2
Triplex Phasis Sophicus,3,triplex phasis sophicus,3
Revidirte Kirchenordnung,2,reuidirt kirchenordnung,2
Kirchken Ordnungen im Landn Tho Pamern,6,kirche ordnung land thos pamer,5
Miranda circa Aug. Confess.,4,miro circa aug confess,4
Selecta de Fide Controversia,4,selecta fides1 controversia,3
Histoire du Calvinisme,3,histoire caluinisme,2
Critique Generale de L'Histoire du Calvinisme,6,criticus generalis histoire caluinisme,4
Notita Ducatus Prussiae,3,nota ducatus preussen,3
Historia Ecclesiastica Breviarium,3,historia ecclesiastes breviarius,3
Opuscula,1,opusculum,1
Ad Consuetudines Flandriae,3,consuetudo flandriae,2
Histoire du Roy Louis le Grand: par les Medailles,9,histoire roy louis grand par medailles,6
Evangl. Predigens,2,euangelistus predigt,2
Bibliotheca Realis Theologica Omnium Materium,5,bibliotheca realis theologicus omne materium,5
De Verborum Quae Ad Ius Pertinent Significatione,7,verbum jus pertineo significatio,4
Annotationes Biblicae,2,annotatio biblia,2
Eros Lipsicus,2,erus lipsicus,2
Insignia Turcica,2,insigne turcus,2
De Oraculis Ethnicorum,3,oraculum ethnicus,2
Episcopus Miles in Veteri Ecclesia Invisus,6,episcopus miles vetus ecclesia invideo,5
Fides et leges Mohamedis,4,fides1 lex mohamedis,3
De Arthritide Libri Duo: De Sanguine et Ejus Sero,9,arthritide liber4 duo sanguis sero1,5
De Antiquo Statu Thuringiae,4,antiquus status thuringia,3
Grammatica Linguae Hebraeae,3,grammatica lingua hebraeus,3
Physica Aeque Ac Historia De Glossopetris Luneburgensibus,7,physica1 aequus historia glossopetris luneburgica,5
Privilegia Universitatum,2,privilegium universitas,2
Orationes Duae: De Dignitate Academiarum et De Literariis Gradibus,9,oratio duo dignitas academicus littera gradus,6
Comitis Epistola (Mirandulae Domini Concordiaeque Comitis Strix),7,comitus epistula mirandulae dominus concordia1 strix,6
Epitome Astronomiae,2,epitome astronomia,2
"""De Alea Veterum, Opusculum Posthumum""",5,alea vetus opusculum postumus,4
Compendium Prosodiae Graecae,3,compendium prosodia graecus,3
De Quietistarum Persecutionibus,3,quietistus persecutio,2
Historia Transubstantationis Papalis,3,historia transubstantatio papa,3
Viridarium Spiritus Sancti,3,uiridarium spiritus sancio,3
Hodegeta Didacticus Syriacus,3,hodegeta didacticus syriacus,3
Ortus et Occasus Calculi Renum,5,orior occido2 calculus renum,4
Moderni Status Sacri Romani Imperii,5,modernus status sacer roma imperium,5
"""Ellychnia Accensa Ad Melius Lumen suae """"Lucernae De Moderno Sacri Romani Imperii Statu""""""",13,ellychnium accendo2 bonus lumen lucerna modernus sacer roma imperium status,10
Fontes Juris Publici Romano-Germanici,4,fons jus publicus romanus german*,5
Christiani Orbis Perspicillum,3,christianus orbus perspicillum,3
Opuscula Juridica Illustriarum Materiarum,4,opusculum iuridicus illustris materia,4
Decision,1,decisio,1
Roma Nova,2,roma novus,2
Tractatus De Feudis,3,tractatus feudum,2
Libri Duo De Substitutione Pupillari,5,liber4 duo substitutio pupillo,4
Tractat De Beneficiis Ecclesiasticis,4,tractatus beneficium ecclesiastes,3
Imperator Justinianus Magnus,3,imperator justinianus magnus,3
Anatomia Corporis Humani,3,anatomia corpus humanus,3
"""De Usu Lienis, Cerebri Et De Ichoribus""",7,usus lienis cerebrum ichoribus,4
Respublica Hebraeorum,2,respublica hebraeus,2
Thalia Alcmariana,2,thalia alkmaar,2
Beschreibung Des Kriegs Zwischen Den Nordischn Crown,7,beschreibung krieg nordisch crow,4
Hodegeticum Pestilentiale Sacrum,3,hodegeta pestilentialis sacer,3
Papista Incertus Oder Ungewißheit Der Römische Catholischen,7,papa incertus ungewißheit roma catholische,5
Hypnologia: Fragen und Antworten von dem Schlaf,7,hypnologia frage antwort schlaf,4
