Acceptae sententiae sive communes opiniones juris,6,accipio sententia communis opinio jus,5
Consilia feudalia ex vaiorum scriptis diligentissime collecta,7,consilium feudalis varius1 scriptus diligens collectus,6
Consilia trium Socinorum,3,consilium tres socinus,3
Corpus canonici juris cum glossa,5,corpus canonicus jus glossa,4
Corpus juris civilis cum glossa,5,corpus jus civilis1 glossa,4
Decretales cum notis in membrana descripta,6,decretales nota membrana describo,4
Decretum cum glossis,3,decretum glossa,2
Responsa juris in causa Landgrav,5,responsum jus causa land graf,5
Sextus decretalium,2,sextus1 decretales,2
Volumen... Pertinens ad Decret,4,uolumen pertineo decretum,3
De ordinandis judiciis,3,ordino judicium,2
Corpus iuris civilis. Digestum novum : mit der Glossa ordinaria von Accursius Florentinus,13,corpus jus civilis1 digestum novus glossa ordinarius accursius florentinus,9
Liber feudorum,2,liber4 feudum,2
"""Decisiones Neapolitanae, antiquae et novae: illae quidem, per suummae auctoritatis I. C. D. Matthaeum de Afflictis: hae vero per D. Antonium Capucium utriusque iuris doctores ... ex communibus et concordibus eiusdem Concilij Senatorum votis, et suffragijs, summa diligentia, singularique iudicio collectae. Accesserunt praeterea D. Thomae Grammatici, itidem Neapolitani, ... in praedicti Matthaei de Afflictis Decisiones, Additiones utilissimae, toti Operi plurimum lucis afferentes. Una cum Annotatis C L. I. C. Ioannis Fichardi Francofurtensis, recens adiectis....""",74,decisio neapolitanus antiquus novus summa auctoritas matthaeus affligo antonius capucium utriusque jus doctor communis concordia1 concilium senator voveo suffragium summum diligo singularis judicium collectus accedo praeterea thoma grammaticus itidem neapolitanus praedico2 matthaeus additio utilis totus1 opus1 multus lucus1 afferre annotatio iohannis fichard frankfurt recens adicio,45
Opera (Andreae Alciati Omnia qui in hunc usque diem sparsim prodierunt usquam opera),13,opus1 andrea alciati omne usque sparsim prodeo usquam,8
Apparatus super VI. Decret,4,appario vis decretum,3
Opera,1,opus1,1
Lexicon juris,2,lexicon jus,2
Opera,1,opus1,1
Opera,1,opus1,1
Svper vsibvs fevdorvm,3,usus2 feudum,2
Repetitio solemnis L. diffamari cod. de ingen. manumiss. et commendatio in eandem Joh. Bendorpii,14,repetitio solemnis diffamare codex inge manumissio commendatio iohannis bendorpii,9
"""Tractatus de interdicto uti possidetis, sive de manutentione in possessionem : continens quaestiones utiles in praxi, et theorica""",18,tractatus interdictum uto possideo manutentio possessio contineo quaestio utilis praxis theoria,11
