logFile 75
This log file was created on 08/22/2017, 14:23:47


Ngrams:
548
['causa', 'decisio']
['causa', 'summum']
['summum', 'tribunal']
['regius', 'tribunal']
['regius', 'vismariensis']
['delatus', 'vismariensis']
['cura', 'delatus']
['cura', 'johann_jacob_von_ryssel']
['gehalten', 'reichstag']
['abschied', 'reichstag']
['abschied', 'satzung']
['commissarius', 'tractatus']
['commissarius', 'commissio']
['camera', 'commissio']
['camera', 'imperialis']
['constitutio', 'corpus']
['constitutio', 'imperialis']
['consilium', 'jus']
['jus', 'responsum']
['jus', 'processus']
['forum', 'jus']
['forum', 'saxonicum']
['heilig', 'roemisch']
['reich', 'roemisch']
['abschied', 'reich']
['abschied', 'anfang']
['actum', 'sache']
['marburg', 'sache']
['marburg', 'succession']
['belangen', 'succession']
['belangen', 'gebrueder']
['gebrueder', 'landgraf']
['hesse', 'landgraf']
['beklagt', 'hesse']
['ander', 'beklagt']
['ander', 'teil']
['cammergericht', 'urteil']
['selectissimum', 'urteil']
['selectissimum', 'sententia']
['imperialis', 'sententia']
['camera', 'imperialis']
['camera', 'judicium']
['annum', 'judicium']
['decisio', 'diversus']
['causa', 'diversus']
['camera', 'causa']
['camera', 'imperialis']
['imperialis', 'judicatus']
['adjunctus', 'judicatus']
['adjunctus', 'relatio']
['actum', 'relatio']
['alt', 'hessisch']
['hessisch', 'hofgericht']
['hofgericht', 'ordnung']
['ordnung', 'philipp_landgraf_zu_hessen']
['corpus', 'jus']
['civilis', 'jus']
['civilis', 'nota']
['gothofredus', 'nota']
['biblia', 'ganz']
['ganz', 'heilig']
['heilig', 'schrift']
['alt', 'schrift']
['alt', 'neu']
['neu', 'testament']
['corpus', 'jus']
['canonicus', 'jus']
['canonicus', 'emendatus']
['emendatus', 'illustratus']
['cameralis', 'processus']
['cameralis', 'ordinatio']
['cameralis', 'ordinatio']
['cameralis', 'recessus']
['imperium', 'recessus']
['imperium', 'recessus']
['memorialis', 'recessus']
['memorialis', 'visitatio']
['consultum', 'visitatio']
['camera', 'consultum']
['camera', 'communis']
['communis', 'decretale']
['decretale', 'res']
['cameralis', 'res']
['cameralis', 'scriptor']
['judicium', 'tractatus']
['judicium', 'liber']
['divisus', 'liber']
['divisus', 'judex']
['judex', 'natura']
['genus', 'natura']
['genus', 'processus']
['judicarius', 'processus']
['judicarius', 'species']
['accuratissimus', 'species']
['accuratissimus', 'jus']
['civilis', 'jus']
['canonicus', 'civilis']
['canonicus', 'recessus']
['imperium', 'recessus']
['imperium', 'mos']
['hodiernis', 'mos']
['hodiernis', 'tradere']
['explicare', 'tradere']
['observatio', 'practicus']
['decretale', 'epistola']
['additus', 'epistola']
['additus', 'casus']
['bernardus', 'casus']
['bernardus', 'glossator']
['glossator', 'index']
['index', 'ludouici_bolognini']
['ludouici_bolognini', 'recognitus']
['argumentum', 'decretum']
['argumentum', 'plennissimus']
['decretum', 'plennissimus']
['decretum', 'omnis']
['continere', 'omnis']
['complecto', 'continere']
['complecto', 'decretum']
['decretum', 'gratianus']
['divisio', 'gratianus']
['divisio', 'dominus']
['arcidiaconus', 'dominus']
['arbor', 'arcidiaconus']
['arbor', 'consanguinitas']
