Source,Target,Type,Weight
jus,processus,Undirected,1
consilium,feudalis,Undirected,1
hesse,landgraf,Undirected,1
antiquus,codex,Undirected,1
causa,summum,Undirected,1
aureus,pene,Undirected,1
cura,regius,Undirected,1
auctor,summus,Undirected,1
possido,usus,Undirected,1
constitutio,novus,Undirected,1
auctor,matthaeus_afflictis,Undirected,1
consilium,res,Undirected,1
appendix,subjicio,Undirected,1
affinitas,penitentialis,Undirected,1
consilium,responsum,Undirected,4
beneficium,praxis,Undirected,1
senatus,votum,Undirected,1
contractus,omnis,Undirected,1
decisio,sacer,Undirected,1
clavis,portus,Undirected,1
regius,tomus,Undirected,1
diligentia,summum,Undirected,1
emendatio,novus,Undirected,1
interdictum,usus,Undirected,1
causa,jus,Undirected,1
emendatus,illustratus,Undirected,1
beklagt,hesse,Undirected,1
addere,adjectus,Undirected,1
decisio,neapolitanus,Undirected,3
civitas,portus,Undirected,1
homagium,versare,Undirected,1
perusia,provincia,Undirected,1
additus,epistola,Undirected,1
criminalis,practicus,Undirected,1
communis,concors,Undirected,1
regius,tribunal,Undirected,1
ordinatio,regius,Undirected,1
afferere,annotatus,Undirected,1
decretale,tractatus,Undirected,1
emphyteuticus,jus,Undirected,1
communis,doctor,Undirected,1
alius,auditor,Undirected,1
canon,penitentialis,Undirected,1
acceptus,sententia,Undirected,1
palatium,relatus,Undirected,1
decretum,gratianus,Undirected,1
jus,utriusque,Undirected,3
manutentio,possido,Undirected,1
determinare,gratia,Undirected,1
denuo,recognitus,Undirected,1
abschied,satzung,Undirected,1
rota,sacrum,Undirected,1
selectissimum,sententia,Undirected,1
diligentius,recognitus,Undirected,1
ludouici_bolognini,recognitus,Undirected,1
dilucidus,enarratio,Undirected,1
codex,justinianus,Undirected,2
jus,responsum,Undirected,4
decretum,divus,Undirected,1
alt,hessisch,Undirected,1
exemplaris,vetus,Undirected,1
constitutio,corpus,Undirected,1
heilig,roemisch,Undirected,1
constitutio,ordinatio,Undirected,1
afferere,lux,Undirected,1
doctor,universitas,Undirected,1
jurisconsultus,nominum,Undirected,1
civilis,justinianus,Undirected,1
cameralis,novus,Undirected,1
nitor,pristinus,Undirected,1
gratia,summum,Undirected,1
audomari_rebuffo,cura,Undirected,1
imperium,recessus,Undirected,3
judicarius,species,Undirected,1
digestum,titulus,Undirected,1
exemplaris,fides,Undirected,1
academia,clarissimus,Undirected,1
civilis,jus,Undirected,10
locupletissimus,memorabilis,Undirected,1
cammergericht,urteil,Undirected,1
feudalis,tractatus,Undirected,1
diligentius,editio,Undirected,1
expositio,omnis,Undirected,1
decretale,summa,Undirected,1
commentarium,summa,Undirected,1
delatus,vismariensis,Undirected,1
insertus,textus,Undirected,1
memorialis,visitatio,Undirected,1
consilium,tractatus,Undirected,1
annotatus,ioannis_fichard,Undirected,1
judex,natura,Undirected,1
belangen,succession,Undirected,1
contineo,quaestio,Undirected,1
pandectes,pars,Undirected,1
antonius_capucis,matthaeus_afflictis,Undirected,1
jus,universus,Undirected,1
titulus,usuvenientia,Undirected,1
neu,testament,Undirected,1
glossa,scribere,Undirected,1
justinianus,tomus,Undirected,1
litera,textus,Undirected,1
apostillis,augustini_ariminensis,Undirected,1
neapolitanus,praedictus,Undirected,1
seditiosus,tractatus,Undirected,1
digestum,novus,Undirected,1
auctor,consarcino,Undirected,1
ganz,heilig,Undirected,1
canonicus,jus,Undirected,4
concilium,senatus,Undirected,1
clementinus,decretale,Undirected,1
utriusque,vocabularius,Undirected,1
reich,roemisch,Undirected,1
illustratus,index,Undirected,1
adjectus,recens,Undirected,1
commentarium,constitutio,Undirected,1
commendatio,joh_bendorpius,Undirected,1
leo,papa,Undirected,1
apostolicus,sedes,Undirected,1
successio,tractatus,Undirected,1
decisio,diversus,Undirected,1
cameralis,recessus,Undirected,1
capelle,decision,Undirected,1
germanicus,responsum,Undirected,1
editor,tomus,Undirected,1
animadverto,criminis,Undirected,1
repetitio,solemnis,Undirected,1
dies,prodire,Undirected,1
forum,saxonicum,Undirected,1
commentatio,enucleatissimus,Undirected,1
doctor,jus,Undirected,1
digestum,vetus,Undirected,2
lex,solemnis,Undirected,1
ander,beklagt,Undirected,1
genus,processus,Undirected,1
postrema,thoma_grammaticus,Undirected,1
constitutio,imperium,Undirected,1
ambiguitas,explico,Undirected,1
fides,vetus,Undirected,1
ordnung,philipp_landgraf_zu_hessen,Undirected,1
illustratus,scholium,Undirected,1
emphyteuticus,succinctus,Undirected,1
apostolicus,editus,Undirected,1
divinus,pene,Undirected,1
insertus,lector,Undirected,1
communis,sententia,Undirected,1
antonius_capucis,utriusque,Undirected,1
denuo,egidio_perrino,Undirected,1
andrea_alciati,omnis,Undirected,1
complecto,decretum,Undirected,1
bernardus,casus,Undirected,1
ambiguitas,praxim,Undirected,1
pandectes,repetitio,Undirected,1
decretum,pontifex,Undirected,1
causa,landgrav,Undirected,1
disciplina,versare,Undirected,1
consilium,regius,Undirected,2
accuratissimus,species,Undirected,1
continere,omnis,Undirected,1
decisio,matthaeo_de_afflictis,Undirected,1
excellens,vir,Undirected,1
criminis,opus,Undirected,1
hodiernis,tradere,Undirected,1
respublica,totius,Undirected,1
decretum,pertinere,Undirected,1
academia,celeberrimus,Undirected,1
caceseranus,decisio,Undirected,1
communis,decretale,Undirected,1
antiquus,neapolitanus,Undirected,1
responsum,summa,Undirected,1
consilium,sacer,Undirected,1
index,locupletissimus,Undirected,2
civilis,glossa,Undirected,1
bernardus,glossator,Undirected,1
difficilis,liber,Undirected,1
cameralis,pandectes,Undirected,1
locupletissimus,universus,Undirected,1
filius,habitus,Undirected,1
contineo,possessio,Undirected,1
consultum,visitatio,Undirected,1
excellens,neapolitanus,Undirected,1
donatus,jus,Undirected,1
explicare,interpretatio,Undirected,1
apostillis,bonifacii_de_vitalinis,Undirected,1
dies,omnis,Undirected,1
codex,diffamo,Undirected,1
manutentio,possessio,Undirected,1
casus,summa,Undirected,1
digestum,verbum,Undirected,1
jus,pandectes,Undirected,2
germania,jurisconsultus,Undirected,1
angeli_aretini,inquirere,Undirected,1
actum,relatio,Undirected,1
