Id,Label,Weight
consiliarius,consiliarius,1
adjectus,adjectus,2
ganz,ganz,1
complecto,complecto,2
satzung,satzung,1
alt,alt,2
antonius_capucis,antonius_capucis,1
neapolitanus,neapolitanus,4
authenticus,authenticus,1
versare,versare,1
respublica,respublica,1
processus,processus,3
dominus,dominus,3
filius,filius,1
andrea_alciati,andrea_alciati,1
conjectura,conjectura,1
hieronymi_chuchalon,hieronymi_chuchalon,1
judicium,judicium,4
recessus,recessus,3
reich,reich,1
succession,succession,1
anfang,anfang,1
hesse,hesse,1
nominum,nominum,1
abschied,abschied,2
divinus,divinus,1
collectanea,collectanea,1
index,index,4
apparatus,apparatus,1
pontifex,pontifex,1
neu,neu,1
praefatio,praefatio,1
ordnung,ordnung,1
leo,leo,1
lex,lex,2
apostolicus,apostolicus,1
forum,forum,1
responsum,responsum,8
exemplaris,exemplaris,1
expositio,expositio,1
adornatus,adornatus,1
belangen,belangen,1
cammergericht,cammergericht,1
vir,vir,1
diffamo,diffamo,1
constitutio,constitutio,3
liber,liber,6
scholium,scholium,1
camera,camera,4
diligentia,diligentia,1
additus,additus,1
boerius,boerius,1
magister,magister,1
novus,novus,5
excellens,excellens,1
novum,novum,1
appendix,appendix,1
commentatio,commentatio,1
biblia,biblia,1
tribunal,tribunal,1
judicatus,judicatus,1
regius,regius,5
divus,divus,1
patrepater,patrepater,1
memorialis,memorialis,1
sententia,sententia,2
agonisticon,agonisticon,1
accessere,accessere,1
pristinus,pristinus,1
species,species,1
probatio,probatio,1
arbor,arbor,1
usus,usus,3
tradere,tradere,1
glossator,glossator,1
restitutus,restitutus,1
tertius,tertius,1
practicus,practicus,2
totius,totius,1
votum,votum,1
aureus,aureus,1
umbria,umbria,1
gebrueder,gebrueder,1
authoritas,authoritas,1
ordinare,ordinare,1
vismariensis,vismariensis,1
homagium,homagium,1
locupletissimus,locupletissimus,3
gratia,gratia,1
vocare,vocare,1
collectus,collectus,4
hofgericht,hofgericht,1
selectissimum,selectissimum,1
joh_bendorpius,joh_bendorpius,1
apostillis,apostillis,1
plerus,plerus,1
editus,editus,1
vivus,vivus,1
contineo,contineo,1
pene,pene,1
feudum,feudum,3
denuo,denuo,1
germanicus,germanicus,1
annotatio,annotatio,1
germania,germania,1
regula,regula,1
habitus,habitus,1
beneficium,beneficium,1
vetus,vetus,4
concilium,concilium,1
verbum,verbum,3
acceptus,acceptus,1
hessisch,hessisch,1
divisus,divisus,2
portus,portus,1
concors,concors,1
penitentialis,penitentialis,1
syntagma,syntagma,1
res,res,4
explanatio,explanatio,1
descriptus,descriptus,1
causa,causa,5
necessarius,necessarius,1
judex,judex,1
summum,summum,3
summus,summus,2
studiosus,studiosus,1
sanctissimus,sanctissimus,1
heilig,heilig,2
praxim,praxim,1
obligatio,obligatio,1
possido,possido,1
infortiatum,infortiatum,2
testament,testament,1
ordinatio,ordinatio,2
praxis,praxis,1
imperator,imperator,1
petr_greg_tholosani,petr_greg_tholosani,1
tyronis,tyronis,1
commendatio,commendatio,1
continere,continere,1
acquirere,acquirere,1
affinitas,affinitas,1
jurisconsultus,jurisconsultus,2
delatus,delatus,1
enarratio,enarratio,1
opus,opus,18
subjicio,subjicio,1
clarissimus,clarissimus,1
custodia,custodia,1
donatus,donatus,1
civilis,civilis,10
seditiosus,seditiosus,1
corpus,corpus,7
beklagt,beklagt,1
tempus,tempus,1
gratianus,gratianus,2
succinctus,succinctus,1
universus,universus,2
diligentius,diligentius,1
glossa,glossa,6
manumissio,manumissio,1
consilia,consilia,1
decretale,decretale,9
decretum,decretum,9
additio,additio,2
arcidiaconus,arcidiaconus,1
saxonicum,saxonicum,1
magnus,magnus,1
landgraf,landgraf,1
praxi,praxi,1
editio,editio,2
nota,nota,2
landgrav,landgrav,1
textus,textus,1
canonicus,canonicus,5
argumentum,argumentum,1
theoricus,theoricus,1
antiquior,antiquior,1
interdictum,interdictum,1
fides,fides,2
memorabilis,memorabilis,1
annum,annum,1
significatio,significatio,1
angeli_aretini,angeli_aretini,1
pars,pars,1
praejudicium,praejudicium,1
lexicon,lexicon,1
criminis,criminis,1
suffragium,suffragium,1
solemnis,solemnis,1
quaestio,quaestio,1
gothofredus,gothofredus,1
possessio,possessio,2
provincia,provincia,1
consilium,consilium,20
animadverto,animadverto,1
visitatio,visitatio,1
actio,actio,1
opinio,opinio,1
illustratus,illustratus,3
diffinitio,diffinitio,1
imperium,imperium,3
accessio,accessio,1
postrema,postrema,1
ambiguitas,ambiguitas,1
clementinus,clementinus,1
consanguinitas,consanguinitas,1
cameralis,cameralis,4
singularus,singularus,1
urteil,urteil,1
resolutio,resolutio,1
prodire,prodire,1
commissio,commissio,1
plennissimus,plennissimus,1
praedictus,praedictus,1
lux,lux,1
accedo,accedo,2
consarcino,consarcino,1
membrana,membrana,1
matthaeo_de_afflictis,matthaeo_de_afflictis,2
natura,natura,1
sedes,sedes,1
parisiensis,parisiensis,1
alius,alius,1
totus,totus,2
"thoma_grammaticus,","thoma_grammaticus,",1
summa,summa,4
primus,primus,1
pedemontanus,pedemontanus,1
contractus,contractus,1
ioannis_fichard,ioannis_fichard,1
capelle,capelle,1
publicus,publicus,1
genus,genus,1
caceseranus,caceseranus,1
accursius_florentinus,accursius_florentinus,1
universitas,universitas,1
appellere,appellere,1
feudalis,feudalis,2
utriusque,utriusque,3
casus,casus,2
pandectes,pandectes,6
accedere,accedere,1
sache,sache,1
audomari_rebuffo,audomari_rebuffo,1
enucleatissimus,enucleatissimus,1
epistola,epistola,1
ludouici_bolognini,ludouici_bolognini,1
emendatio,emendatio,1
pertinere,pertinere,1
usucapio,usucapio,1
emphyteuticus,emphyteuticus,1
scriptus,scriptus,1
noster,noster,1
ordinarius,ordinarius,1
varius,varius,3
subditus,subditus,1
determinare,determinare,1
cura,cura,2
canon,canon,1
inquirere,inquirere,1
digestum,digestum,6
conscriptus,conscriptus,1
thoma_grammaticus,thoma_grammaticus,1
maleficium,maleficium,1
dilucidus,dilucidus,2
doctor,doctor,3
methodica,methodica,1
matthaeus_afflictis,matthaeus_afflictis,1
commentarium,commentarium,6
roemisch,roemisch,1
bonifacii_de_vitalinis,bonifacii_de_vitalinis,1
praelectio,praelectio,1
enchiridion,enchiridion,1
justinianus,justinianus,4
sacrum,sacrum,1
recens,recens,1
scribere,scribere,1
celeberrimus,celeberrimus,1
angelo_politiano,angelo_politiano,1
burdegalensis,burdegalensis,1
compendium,compendium,1
ioan_montani,ioan_montani,1
hodiernis,hodiernis,1
academia,academia,1
perusia,perusia,1
auditor,auditor,1
successio,successio,1
reichstag,reichstag,1
consultum,consultum,1
diligentissimus,diligentissimus,2
egidio_perrino,egidio_perrino,1
difficilis,difficilis,1
scriptor,scriptor,1
disciplina,disciplina,1
usuvenientia,usuvenientia,1
litera,litera,1
judicarius,judicarius,1
manutentio,manutentio,1
mos,mos,1
divisio,divisio,1
nitor,nitor,1
privilegium,privilegium,1
explicare,explicare,2
teil,teil,1
rota,rota,2
johann_jacob_von_ryssel,johann_jacob_von_ryssel,1
conclusio,conclusio,2
antonio_capycio,antonio_capycio,1
observatio,observatio,3
vocabularius,vocabularius,1
decision,decision,1
alberti_de_gandino,alberti_de_gandino,1
concordatum,concordatum,1
commissarius,commissarius,1
fasciculus,fasciculus,1
vulgo,vulgo,1
bernardus,bernardus,1
emendatus,emendatus,1
titulus,titulus,2
dirigere,dirigere,1
sacer,sacer,2
quotidia,quotidia,1
plurimum,plurimum,1
lector,lector,1
immunitas,immunitas,1
ander,ander,1
gehalten,gehalten,1
locus,locus,1
addere,addere,1
philipp_landgraf_zu_hessen,philipp_landgraf_zu_hessen,1
senatus,senatus,1
collatio,collatio,1
explico,explico,1
editor,editor,1
auctor,auctor,2
omnis,omnis,6
afferere,afferere,1
decisio,decisio,12
schrift,schrift,1
jus,jus,29
repetitio,repetitio,2
annotatus,annotatus,1
relatus,relatus,1
imperialis,imperialis,4
accuratissimus,accuratissimus,1
marburg,marburg,1
utilis,utilis,2
classis,classis,1
speculum,speculum,1
relatio,relatio,1
materia,materia,1
recognitus,recognitus,3
communis,communis,5
codex,codex,6
civitas,civitas,1
interpretatio,interpretatio,1
tractatus,tractatus,9
augustini_ariminensis,augustini_ariminensis,1
adjunctus,adjunctus,1
papa,papa,1
tomus,tomus,3
dies,dies,1
clavis,clavis,1
insertus,insertus,1
ingenuus,ingenuus,1
criminalis,criminalis,1
volumen,volumen,2
utilissimus,utilissimus,1
palatium,palatium,1
actum,actum,2
diversus,diversus,1
socinus,socinus,1
antiquus,antiquus,3
decum,decum,1
