Id,Label,Weight
accipio,accipio,1
sententia,sententia,1
communis,communis,4
opinio,opinio,1
jus,jus,19
consilium,consilium,18
feudalis,feudalis,2
varius1,varius1,3
scriptus,scriptus,1
diligens,diligens,2
collectus,collectus,4
tres,tres,3
socinus,socinus,1
corpus,corpus,4
canonicus,canonicus,2
glossa,glossa,6
civilis1,civilis1,5
decretales,decretales,5
nota,nota,1
membrana,membrana,1
describo,describo,1
decretum,decretum,6
responsum,responsum,7
causa,causa,3
land,land,1
graf,graf,1
sextus1,sextus1,1
uolumen,uolumen,1
pertineo,pertineo,1
ordino,ordino,1
judicium,judicium,2
digestum,digestum,4
novus,novus,5
ordinarius,ordinarius,1
accursius,accursius,1
florentinus,florentinus,1
liber4,liber4,3
feudum,feudum,3
decisio,decisio,8
neapolitanus,neapolitanus,3
antiquus,antiquus,3
summa,summa,3
auctoritas,auctoritas,1
matthaeus,matthaeus,3
affligo,affligo,2
antonius,antonius,1
capucium,capucium,1
utriusque,utriusque,3
doctor,doctor,2
concordia1,concordia1,1
concilium,concilium,1
senator,senator,1
voveo,voveo,1
suffragium,suffragium,1
summum,summum,1
diligo,diligo,1
singularis,singularis,1
accedo,accedo,3
praeterea,praeterea,1
thoma,thoma,2
grammaticus,grammaticus,2
itidem,itidem,1
praedico2,praedico2,1
additio,additio,2
utilis,utilis,2
totus1,totus1,3
opus1,opus1,17
multus,multus,1
lucus1,lucus1,1
afferre,afferre,1
annotatio,annotatio,1
iohannis,iohannis,3
fichard,fichard,1
frankfurt,frankfurt,1
recens,recens,1
adicio,adicio,1
andrea,andrea,1
alciati,alciati,1
omne,omne,5
usque,usque,1
sparsim,sparsim,1
prodeo,prodeo,1
usquam,usquam,1
appario,appario,1
vis,vis,2
lexicon,lexicon,1
usus2,usus2,1
repetitio,repetitio,2
solemnis,solemnis,1
diffamare,diffamare,1
codex,codex,4
inge,inge,1
manumissio,manumissio,1
commendatio,commendatio,1
bendorpii,bendorpii,1
tractatus,tractatus,7
interdictum,interdictum,1
uto,uto,1
possideo,possideo,1
manutentio,manutentio,1
possessio,possessio,2
contineo,contineo,1
quaestio,quaestio,1
praxis,praxis,3
theoria,theoria,1
burdegalenses,burdegalenses,1
nunc,nunc,2
boerii,boerii,1
seditiosus,seditiosus,1
custodia,custodia,1
clauis,clauis,1
porta,porta,1
civitas,civitas,1
montanus1,montanus1,1
authoritas,authoritas,1
magnus,magnus,1
pandectes,pandectes,1
pars,pars,2
primus,primus,3
infortiatum,infortiatum,1
secundus1,secundus1,2
voco,voco,1
secundus,secundus,1
commentarius,commentarius,5
summaria,summaria,3
index,index,3
res,res,3
verbum,verbum,3
memorabilis,memorabilis,1
locuples,locuples,3
universus,universus,2
materia,materia,1
complectere,complectere,1
capelle,capelle,1
sedes,sedes,1
archiepiscopalis,archiepiscopalis,1
tolosa,tolosa,2
casus1,casus1,1
clementina,clementina,1
speculum,speculum,1
coniectura,coniectura,1
sex,sex,1
difficilis,difficilis,1
pleo,pleo,1
locus,locus,1
emendatio,emendatio,1
interpretatio,interpretatio,1
explico,explico,2
agonista,agonista,1
usus,usus,1
collectaneus,collectaneus,1
quodam,quodam,1
modo,modo,1
methodicus,methodicus,1
tyronis,tyronis,1
disciplina,disciplina,1
verso,verso,1
inutilis,inutilis,1
nonnulla,nonnulla,1
homagium,homagium,1
praefatio,praefatio,1
subditus,subditus,1
quotidianus,quotidianus,1
usuuenientia,usuuenientia,1
titulus,titulus,2
justinianus,justinianus,1
emphyteuticus,emphyteuticus,1
succingo,succingo,1
dilucidus,dilucidus,2
enarratio,enarratio,1
enchiridion,enchiridion,1
conclusio,conclusio,2
regula,regula,1
dono,dono,1
obseruatio,obseruatio,2
pedemontanus,pedemontanus,1
caceserani,caceserani,1
parisiensis,parisiensis,1
maleficium,maleficium,1
angelus,angelus,1
aretini,aretini,1
inquiro,inquiro,1
