Id,Label,Weight
decisio,decisio,2
causa,causa,2
praecipuus,praecipuus,2
summus,summus,1
tribunal,tribunal,1
regius,regius,1
uismariense,uismariense,1
delatus,delatus,1
curo,curo,1
iohannis,iohannis,1
iacob,iacob,1
ryssel,ryssel,1
heilig,heilig,2
roma,roma,2
reich,reich,3
gehalten,gehalten,1
tag,tag,1
abschied,abschied,2
satzung,satzung,1
tractatus,tractatus,2
commissarus,commissarus,1
commissio,commissio,1
cammer,cammer,6
imperium,imperium,7
corpus,corpus,3
constitutio,constitutio,2
consilium,consilium,1
jus,jus,8
responsum,responsum,1
processus2,processus2,3
forum,forum,1
saxonicus,saxonicus,1
anfang,anfang,1
actum,actum,2
sache,sache,1
marburg,marburg,1
successio,successio,1
belangend,belangend,1
herr,herr,2
gebrüder,gebrüder,1
land,land,2
graf,graf,2
hesse,hesse,3
klaeger,klaeger,1
moritz,moritz,1
beklagt,beklagt,1
teil,teil,1
gericht,gericht,2
end,end,1
urteil,urteil,1
selectus,selectus,1
sententia,sententia,1
judicium,judicium,3
annus,annus,2
diuersus,diuersus,1
judico,judico,1
adjungo,adjungo,1
relatio,relatio,1
alt,alt,2
hof,hof,1
ordnung,ordnung,1
philipp,philipp,1
civilis1,civilis1,5
nota,nota,1
gothofredus,gothofredus,1
biblia,biblia,1
schrift,schrift,1
testament,testament,1
canonicus,canonicus,2
emendatus,emendatus,1
illustratio,illustratio,1
cameralis,cameralis,3
ordinatio,ordinatio,1
recessus2,recessus2,2
memorial,memorial,1
uisitatio,uisitatio,1
consulo,consulo,1
communis,communis,1
decretum,decretum,3
res,res,1
scriptor,scriptor,1
liber4,liber4,3
divido,divido,1
natura,natura,1
gener,gener,1
iudiciarius,iudiciarius,1
species,species,1
accuratus,accuratus,1
mos,mos,1
hodiernus,hodiernus,1
trado,trado,1
explico,explico,1
obseruatio,obseruatio,1
practicus,practicus,1
decretales,decretales,2
epistula,epistula,1
addo,addo,2
casus1,casus1,1
bernardus,bernardus,1
glossator,glossator,1
index,index,1
ludouicus,ludouicus,1
bolognini,bolognini,1
recognitus,recognitus,2
argumentum,argumentum,1
plenus,plenus,1
omne,omne,1
contineo,contineo,1
abundus,abundus,1
complector,complector,1
gratianus,gratianus,1
nec,nec,1
non,non,1
divisio,divisio,1
dominus,dominus,1
archidiaconus,archidiaconus,1
arbor1,arbor1,1
consanguinitas,consanguinitas,1
affinitas,affinitas,1
penitentialis,penitentialis,1
canon,canon,1
adicio,adicio,1
insuper,insuper,1
littera,littera,1
rubrus,rubrus,1
color,color,1
imprimo,imprimo,1
invenio,invenio,1
alius2,alius2,1
textus,textus,1
insero2,insero2,1
lector,lector,1
dirigo,dirigo,1
pandectes,pandectes,1
digestum,digestum,2
justinianus,justinianus,3
tomus,tomus,1
primus,primus,1
vulgo2,vulgo2,1
vetus,vetus,1
appello,appello,1
egidio,egidio,1
perrino,perrino,1
denuo,denuo,1
scholium,scholium,1
illustro,illustro,1
accedo,accedo,1
jurisconsultus,jurisconsultus,1
nomino,nomino,1
pandectae,pandectae,4
consarcinare,consarcinare,1
auctor,auctor,1
angelus,angelus,1
politiano,politiano,1
infortiatum,infortiatum,1
codex,codex,2
vetustus,vetustus,1
exemplar,exemplar,1
fides1,fides1,1
diligens,diligens,1
imperator,imperator,1
uolumen,uolumen,1
lex,lex,1
doctor,doctor,1
vivus,vivus,1
annotatio,annotatio,1
antiquus,antiquus,1
collatio,collatio,1
novus,novus,1
editio,editio,1
tertius,tertius,1
accessio,accessio,1
adorno,adorno,1
zubrodt,zubrodt,1
