Source,Target,Type,Weight
accipio,sententia,Undirected,1
accipio,communis,Undirected,1
accipio,opinio,Undirected,1
sententia,communis,Undirected,1
sententia,opinio,Undirected,1
sententia,jus,Undirected,1
communis,opinio,Undirected,1
communis,jus,Undirected,1
opinio,jus,Undirected,1
consilium,feudalis,Undirected,1
consilium,varius1,Undirected,1
consilium,scriptus,Undirected,1
feudalis,varius1,Undirected,1
feudalis,scriptus,Undirected,1
feudalis,diligens,Undirected,1
varius1,scriptus,Undirected,1
varius1,diligens,Undirected,1
varius1,collectus,Undirected,1
scriptus,diligens,Undirected,1
scriptus,collectus,Undirected,1
diligens,collectus,Undirected,1
consilium,tres,Undirected,1
consilium,socinus,Undirected,1
tres,socinus,Undirected,1
corpus,canonicus,Undirected,2
corpus,jus,Undirected,4
corpus,glossa,Undirected,3
canonicus,jus,Undirected,2
canonicus,glossa,Undirected,2
jus,glossa,Undirected,3
corpus,civilis1,Undirected,2
jus,civilis1,Undirected,5
civilis1,glossa,Undirected,2
decretales,nota,Undirected,1
decretales,membrana,Undirected,1
decretales,describo,Undirected,1
nota,membrana,Undirected,1
nota,describo,Undirected,1
membrana,describo,Undirected,1
decretum,glossa,Undirected,1
responsum,jus,Undirected,4
responsum,causa,Undirected,1
responsum,land,Undirected,1
jus,causa,Undirected,1
jus,land,Undirected,1
jus,graf,Undirected,1
causa,land,Undirected,1
causa,graf,Undirected,1
land,graf,Undirected,1
sextus1,decretales,Undirected,1
uolumen,pertineo,Undirected,1
uolumen,decretum,Undirected,1
pertineo,decretum,Undirected,1
ordino,judicium,Undirected,1
corpus,digestum,Undirected,1
jus,digestum,Undirected,1
jus,novus,Undirected,1
civilis1,digestum,Undirected,1
civilis1,novus,Undirected,1
digestum,novus,Undirected,2
digestum,glossa,Undirected,1
digestum,ordinarius,Undirected,1
novus,glossa,Undirected,1
novus,ordinarius,Undirected,1
novus,accursius,Undirected,1
glossa,ordinarius,Undirected,1
glossa,accursius,Undirected,1
glossa,florentinus,Undirected,1
ordinarius,accursius,Undirected,1
ordinarius,florentinus,Undirected,1
accursius,florentinus,Undirected,1
liber4,feudum,Undirected,1
decisio,neapolitanus,Undirected,1
decisio,antiquus,Undirected,1
decisio,novus,Undirected,2
neapolitanus,antiquus,Undirected,1
neapolitanus,novus,Undirected,1
neapolitanus,summa,Undirected,1
antiquus,novus,Undirected,1
antiquus,summa,Undirected,1
antiquus,auctoritas,Undirected,1
novus,summa,Undirected,1
novus,auctoritas,Undirected,1
novus,matthaeus,Undirected,1
summa,auctoritas,Undirected,1
summa,matthaeus,Undirected,1
summa,affligo,Undirected,1
auctoritas,matthaeus,Undirected,1
auctoritas,affligo,Undirected,1
auctoritas,antonius,Undirected,1
matthaeus,affligo,Undirected,2
matthaeus,antonius,Undirected,1
matthaeus,capucium,Undirected,1
affligo,antonius,Undirected,1
affligo,capucium,Undirected,1
affligo,utriusque,Undirected,1
antonius,capucium,Undirected,1
antonius,utriusque,Undirected,1
antonius,jus,Undirected,1
capucium,utriusque,Undirected,1
capucium,jus,Undirected,1
capucium,doctor,Undirected,1
utriusque,jus,Undirected,3
utriusque,doctor,Undirected,1
utriusque,communis,Undirected,1
jus,doctor,Undirected,1
jus,communis,Undirected,2
jus,concordia1,Undirected,1
doctor,communis,Undirected,1
doctor,concordia1,Undirected,1
doctor,concilium,Undirected,1
communis,concordia1,Undirected,1
communis,concilium,Undirected,1
communis,senator,Undirected,1
concordia1,concilium,Undirected,1
concordia1,senator,Undirected,1
concordia1,voveo,Undirected,1
concilium,senator,Undirected,1
concilium,voveo,Undirected,1
concilium,suffragium,Undirected,1
senator,voveo,Undirected,1
senator,suffragium,Undirected,1
senator,summum,Undirected,1
voveo,suffragium,Undirected,1
voveo,summum,Undirected,1
voveo,diligo,Undirected,1
suffragium,summum,Undirected,1
suffragium,diligo,Undirected,1
suffragium,singularis,Undirected,1
summum,diligo,Undirected,1
summum,singularis,Undirected,1
summum,judicium,Undirected,1
diligo,singularis,Undirected,1
diligo,judicium,Undirected,1
diligo,collectus,Undirected,1
singularis,judicium,Undirected,1
singularis,collectus,Undirected,1
singularis,accedo,Undirected,1
judicium,collectus,Undirected,1
judicium,accedo,Undirected,1
judicium,praeterea,Undirected,1
collectus,accedo,Undirected,1
collectus,praeterea,Undirected,1
collectus,thoma,Undirected,1
accedo,praeterea,Undirected,1
accedo,thoma,Undirected,1
accedo,grammaticus,Undirected,1
praeterea,thoma,Undirected,1
praeterea,grammaticus,Undirected,1
praeterea,itidem,Undirected,1
thoma,grammaticus,Undirected,2
thoma,itidem,Undirected,1
thoma,neapolitanus,Undirected,1
grammaticus,itidem,Undirected,1
grammaticus,neapolitanus,Undirected,1
grammaticus,praedico2,Undirected,1
itidem,neapolitanus,Undirected,1
itidem,praedico2,Undirected,1
itidem,matthaeus,Undirected,1
neapolitanus,praedico2,Undirected,1
neapolitanus,matthaeus,Undirected,1
neapolitanus,additio,Undirected,1
praedico2,matthaeus,Undirected,1
praedico2,additio,Undirected,1
praedico2,utilis,Undirected,1
